Level,Extreme dice,Extreme,High dice,High,Moderate dice,Moderate,Low dice,Low
-1,1d6+1,4,1d4+1,3,1d4,3,1d4,2
0,1d6+3,6,1d6+2,5,1d4+2,4,1d4+1,3
1,1d8+4,8,1d6+3,6,1d6+2,5,1d4+2,4
2,1d12+4,11,1d10+4,9,1d8+4,8,1d6+3,6
3,1d12+8,15,1d10+6,12,1d8+6,10,1d6+5,8
4,2d10+7,18,2d8+5,14,2d6+5,12,2d4+4,9
5,2d12+7,20,2d8+7,16,2d6+6,13,2d4+6,11
6,2d12+10,23,2d8+9,18,2d6+8,15,2d4+7,12
7,2d12+12,25,2d10+9,20,2d8+8,17,2d6+6,13
8,2d12+15,28,2d10+11,22,2d8+9,18,2d6+8,15
9,2d12+17,30,2d10+13,24,2d8+11,20,2d6+9,16
10,2d12+20,33,2d12+13,26,2d10+11,22,2d6+10,17
11,2d12+22,35,2d12+15,28,2d10+12,23,2d8+10,19
12,3d12+19,38,3d10+14,30,3d8+12,25,3d6+10,20
13,3d12+21,40,3d10+16,32,3d8+14,27,3d6+11,21
14,3d12+24,43,3d10+18,34,3d8+15,28,3d6+13,23
15,3d12+26,45,3d12+17,36,3d10+14,30,3d6+14,24
16,3d12+29,48,3d12+18,37,3d10+15,31,3d6+15,25
17,3d12+31,50,3d12+19,38,3d10+16,32,3d6+16,26
18,3d12+34,53,3d12+20,40,3d10+17,33,3d6+17,27
19,4d12+29,55,4d10+20,42,4d8+17,35,4d6+14,28
20,4d12+32,58,4d10+22,44,4d8+19,37,4d6+15,29
21,4d12+34,60,4d10+24,46,4d8+20,38,4d6+17,31
22,4d12+37,63,4d10+26,48,4d8+22,40,4d6+18,32
23,4d12+39,65,4d12+24,50,4d10+20,42,4d6+19,33
24,4d12+42,68,4d12+26,52,4d10+22,44,4d6+21,35
