Level,High,Moderate,Low
-1,9~9,8~7,6~5
0,20~17,16~14,13~11
1,26~24,21~19,16~14
2,40~36,32~28,25~21
3,59~53,48~42,37~31
4,78~72,63~57,48~42
5,97~91,78~72,59~53
6,123~115,99~91,75~67
7,148~140,119~111,90~82
8,173~165,139~131,105~97
9,198~190,159~151,120~112
10,223~215,179~171,135~127
11,248~240,199~191,150~142
12,273~265,219~211,165~157
13,298~290,239~231,180~172
14,323~315,259~251,195~187
15,348~340,279~271,210~202
16,373~365,299~291,225~217
17,398~390,319~311,240~232
18,423~415,339~331,255~247
19,448~440,359~351,270~262
20,473~465,379~371,285~277
21,505~495,405~395,305~295
22,544~532,436~424,329~317
23,581~569,466~454,351~339
24,633~617,508~492,383~367
